1,0.35,0.15,0.69,0.55
2,0.3,0.2,0.86,0.69
3,0.25,0.25,0.97,0.78
4,0.2,0.3,1,0.8
5,0.2,0.35,0.95,0.76
6,0.2,0.4,0.84,0.67
7,0.2,0.45,0.67,0.54
8,0.2,0.5,0.47,0.38
9,0.2,0.55,0.28,0.22
10,0.2,0.6,0.12,0.1
11,0.2,0.65,0.02,0.02
12,0.2,0.7,0.01,0.01
13,0.25,0.75,0.06,0.05
14,0.3,0.8,0.18,0.14
15,0.35,0.8,0.36,0.29
16,0.4,0.8,0.56,0.45
17,0.45,0.8,0.75,0.6
18,0.5,0.75,0.9,0.72
19,0.55,0.7,0.98,0.78
20,0.55,0.65,0.99,0.79
21,0.55,0.6,0.93,0.74
22,0.55,0.55,0.79,0.63
23,0.55,0.5,0.61,0.49
24,0.55,0.45,0.41,0.33
25,0.55,0.4,0.23,0.18
26,0.55,0.35,0.09,0.07
27,0.55,0.3,0.01,0.01
28,0.55,0.25,0.01,0.01
29,0.6,0.2,0.09,0.07
30,0.65,0.15,0.23,0.18
31,0.7,0.15,0.42,0.34
32,0.75,0.15,0.62,0.5
33,0.8,0.15,0.8,0.64
34,0.85,0.2,0.93,0.74
35,0.9,0.25,1,0.8
36,0.9,0.3,0.98,0.78
37,0.9,0.35,0.89,0.71
38,0.9,0.4,0.74,0.59
39,0.9,0.45,0.55,0.44
40,0.9,0.5,0.36,0.29
41,0.9,0.55,0.18,0.14
42,0.9,0.6,0.06,0.05
43,0.9,0.65,0,0
44,0.85,0.7,0.03,0.02
45,0.8,0.75,0.12,0.1
46,0.75,0.8,0.28,0.22
